,Av,Rt,Th,Cost
2015-07-18,0.5621549054443596,0.39093589364160214,0.9455628398608119,0.7986731123843851
2015-07-19,0.716736452741525,0.3652256050076028,0.9096957254973419,0.6099970101274564
2015-07-20,0.5849122617355629,0.42154147210880233,0.900039973663665,0.7652286156692023
2015-07-21,0.6244867670271612,0.3587032782347219,0.9026545724146584,0.7537547309206553
2015-07-22,0.7858077272144868,0.21420682367451244,0.9086456982267077,0.7361853571732654
2015-07-23,0.7311154041290614,0.42200309508784395,0.8953989824914758,0.6959012971617684
2015-07-24,0.6351746505383769,0.3710970327746743,0.9542092260581931,0.7274756193712447
2015-07-25,0.6722143286389357,0.4436636140770045,0.8979341203615686,0.7682406655194387
2015-07-26,0.7589408882137192,0.47481381349905505,0.9351042333447299,0.848026041897448
2015-07-27,0.7214958959765575,0.4409241817875944,0.967463052007404,0.7881794352803239
2015-07-28,0.83405230992929,0.44501102274120286,0.9641437616898578,0.831447396145977
2015-07-29,0.7073823713782501,0.3830590809794698,0.8539310867977328,0.6202764626163988
2015-07-30,0.7233205437120627,0.4474735133782758,0.8902582257641443,0.7425355230801692
2015-07-31,0.7200608721923811,0.4998897100948021,0.877809093096701,0.7782826300816912
2015-08-01,0.6617987795656582,0.49242159853306267,0.9285607908018954,0.811689223807073
2015-08-02,0.6791647851859517,0.45553432837054275,0.95646626414468,0.775243700626709
2015-08-03,0.8102589590241257,0.4641826025668809,0.9140664815068481,0.8057400251180793
2015-08-04,0.7487325235868563,0.4456163853305203,0.8853646663993358,0.7885459908248268
2015-08-05,0.7224165718079819,0.6423365930354201,0.904805237210934,0.9186366699531425
2015-08-06,0.8103510921685517,0.5654755097566609,0.8843648293397606,0.8641076015114678
2015-08-07,0.7366460441293903,0.5690957402976632,0.8528001875299788,0.8750142325626531
2015-08-08,0.8254823658495585,0.5114430002313459,0.905316349264929,0.8846461710048967
2015-08-09,0.8500054925092186,0.6293505422970243,0.8903150432705496,1.0
2015-08-10,0.8564766298998907,0.5759241612715714,0.8291200849457225,0.9457547492028979
2015-08-11,0.7029170214979322,0.6102726296873786,0.8949943220772525,0.8264500606026113
2015-08-12,0.7792326543705106,0.5744644963840225,0.8641632032242373,0.8766603110819285
2015-08-13,0.685131128107469,0.6611938274297591,0.8826507521384184,0.8109130387313579
2015-08-14,0.7345087781323973,0.6219109125971014,0.8426140963991187,0.855820304964109
2015-08-15,0.8048168211670146,0.6893075590809266,0.8664446667101701,0.7577016794589875
2015-08-16,0.8667500220073827,0.706049058079567,0.8554432862482124,0.9166175485268979
2015-08-17,0.7331144706326052,0.5863446574070584,0.8316134472226818,0.7825998689701177
2015-08-18,0.6598326034523612,0.6778154702420105,0.896613348371325,0.6978431504421075
2015-08-19,0.6685966975735954,0.5710741326565829,0.8333025546659654,0.5295364966257367
2015-08-20,0.7760782737400601,0.653846331331663,0.8464815774346909,0.6483361652230143
2015-08-21,0.6947126762856664,0.6547432634767527,0.8130290305417653,0.49351233381764287
2015-08-22,0.7515598085102474,0.6267000857145668,0.8636396410589324,0.7248329601069585
2015-08-23,0.7328753657398819,0.6431486846123252,0.7900776015750042,0.6266883717357647
2015-08-24,0.743076678842062,0.7289578943643558,0.8600093637241302,0.6553206102203224
2015-08-25,0.8268147356454567,0.5704680095520852,0.8533667940605673,0.6885177546254325
2015-08-26,0.7986973295277104,0.6970193762774032,0.8436505219616135,0.6853884462801503
2015-08-27,0.7991809395190634,0.6478820513894414,0.8555396489240749,0.7081175669255153
2015-08-28,0.9533604897888334,0.6239150968518641,0.7947995147302573,0.6744434156283488
2015-08-29,0.9215675845929264,0.7561161432714405,0.8093878458521044,0.7618595171818343
2015-08-30,1.0,0.7214207563008745,0.8182846583303084,0.6765480095774503
2015-08-31,0.9695711149262105,0.6620745809452949,0.8771234790045662,0.7309327255213312
2015-09-01,0.7875703677278257,0.6462016126474766,0.8040867253743539,0.6822885637417834
2015-09-02,0.8533112657869637,0.6916345138860059,0.8098744310799689,0.6333963937819174
2015-09-03,0.6794730797117163,0.7772261536626963,0.7585304580247618,0.6719761177417007
2015-09-04,0.6451154321641881,0.7542430224090584,0.7426501854840637,0.6620218576249886
2015-09-05,0.6920256038806136,0.7219260203235218,0.7433070368156763,0.6277920060673977
2015-09-06,0.6976528731050924,0.7044905470020658,0.7254966047895115,0.5581086128553225
2015-09-07,0.6703271232047557,0.7880893935318658,0.7020121716426124,0.7310704179479371
2015-09-08,0.5715368441453855,0.6247090813287917,0.7563641250751139,0.7229532717140721
2015-09-09,0.6575624694855975,0.6969760073309036,0.7083982516536644,0.5079597952114162
2015-09-10,0.6994010589366175,0.7231426760737746,0.7413661939017162,0.6303244494396789
2015-09-11,0.7414658208357813,0.6364562790723031,0.7084547305886831,0.5631802259616663
2015-09-12,0.676117430105261,0.6489968247190891,0.6812730811025647,0.49713666778273136
2015-09-13,0.775418069382229,0.6201500536227045,0.6973840373243376,0.6420018226030565
2015-09-14,0.6673561686962286,0.6342826893256537,0.7128151308269651,0.5422198880648932
2015-09-15,0.5830063282613385,0.6490810415171379,0.704121857451297,0.544437033870746
2015-09-16,0.6800518895011023,0.609923944057181,0.6452264448657099,0.5999580187343286
2015-09-17,0.6718345622432287,0.6620149855759391,0.6219170481514088,0.5794963644298645
2015-09-18,0.6499478714568472,0.6561013431473615,0.6666856691896716,0.5683870801477467
2015-09-19,0.6041733781922247,0.6786428806447438,0.6400097768449102,0.4773995305380316
2015-09-20,0.6640110731953603,0.6110635958350538,0.6740115691744564,0.6671903627974494
2015-09-21,0.6791344510094561,0.5580813796384723,0.6425048693056449,0.5911159381321276
2015-09-22,0.6160537951765942,0.8299811787875343,0.6469407131353236,0.4850704834217361
2015-09-23,0.7187460923450661,0.7438737142378449,0.6529922183024791,0.48700461472316364
2015-09-24,0.7225953394114593,0.696071941042798,0.641500541004009,0.5378327286099687
