trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1356,False,"{'a': 0.002, 'e': 0.06640386608652883}",25,14,19.468641821273454,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1357,False,"{'a': 0.002, 'e': 0.06627119107359372}",20,13,7.665096466915162,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
1358,False,"{'a': 0.002, 'e': 0.06613878114551125}",30,8,23.664382755126635,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
1359,False,"{'a': 0.002, 'e': 0.06600663577264156}",20,13,12.144638238759867,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1360,False,"{'a': 0.002, 'e': 0.06587475442640295}",25,11,-28.77267219663097,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
1361,False,"{'a': 0.002, 'e': 0.0657431365792699}",25,10,27.839581595406273,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1362,False,"{'a': 0.002, 'e': 0.0656117817047708}",25,18,14.429192835410664,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1363,False,"{'a': 0.002, 'e': 0.06548068927748603}",20,12,11.035859049840626,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1364,False,"{'a': 0.002, 'e': 0.06534985877304565}",25,19,11.768871600702807,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1365,False,"{'a': 0.002, 'e': 0.06521928966812753}",20,5,13.891473064313814,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
1366,False,"{'a': 0.002, 'e': 0.065088981440455}",20,14,8.194846533512445,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1367,False,"{'a': 0.002, 'e': 0.06495893356879505}",20,12,8.770548867959937,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
1368,False,"{'a': 0.002, 'e': 0.06482914553295596}",25,19,12.44620625793048,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1369,False,"{'a': 0.002, 'e': 0.06469961681378547}",25,18,6.213666567351801,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
1370,False,"{'a': 0.002, 'e': 0.06457034689316847}",30,21,14.705585495001642,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1371,False,"{'a': 0.002, 'e': 0.06444133525402518}",25,4,15.26465326765545,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
1372,False,"{'a': 0.002, 'e': 0.06431258138030878}",20,10,-4.301120758207855,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
1373,False,"{'a': 0.002, 'e': 0.06418408475700368}",20,8,21.19373772546626,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1374,False,"{'a': 0.002, 'e': 0.06405584487012317}",20,9,21.367443194358057,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1375,False,"{'a': 0.002, 'e': 0.06392786120670757}",35,8,40.31644464092084,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
1376,False,"{'a': 0.002, 'e': 0.063800133254822}",30,22,16.274605017354766,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1377,False,"{'a': 0.002, 'e': 0.06367266050355457}",25,7,26.30825000259889,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
1378,False,"{'a': 0.002, 'e': 0.063545442443014}",20,8,20.098505962372776,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1379,False,"{'a': 0.002, 'e': 0.06341847856432796}",20,12,15.67144268573047,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1380,False,"{'a': 0.002, 'e': 0.0632917683596407}",25,13,22.877218469294657,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
